icd_code,ais_code,prob
D296.53,710806,0.00631978
D296.54,542210,0.00137484
D296.55,650618,0.000339269
D296.56,877110,9.98705e-05
D296.60,857461,0.00256982
D296.63,640684,0.000911716
D296.64,840402,0.00101252
D296.7,910800,0.00131933
D296.8,770710,0.000854784
D296.80,640626,0.0481912
D296.82,140656,2.23002e-05
D296.89,752263,0.00600474
D296.9,912002,0.000135904
D296.90,640610,0.00631313
D296.99,320699,0.00426444
D297.1,310800,0.0105515
D297.3,110202,5.79181e-05
D297.8,541640,0.00292722
D297.9,440805,0.0111926
D298.1,854171,2.05906e-05
D298.2,140699,0.000179778
D298.3,541699,0.00066962
D298.8,853161,7.53099e-06
D298.9,310800,0.0105504
D299.0,400099,0.000823055
D299.00,770520,0.00231016
D299.80,350200,0.00109076
D300.0,752363,0.00156801
D300.00,131899,0.0148866
D300.01,630222,0.00931955
D300.02,320402,0.00460826
D300.09,640626,0.048265
D300.10,854453,7.55622e-05
D300.11,640626,0.048265
D300.12,100099,2.10525e-05
D300.14,320406,0.00696041
D300.15,510604,0.000611665
D300.16,751100,4.76951e-05
D300.19,545420,0.00230194
D300.21,321002,0.000693234
D300.22,772489,0.00112321
D300.23,770520,0.00230964
D300.29,240603,0.00158877
D300.3,320699,0.0042721
D300.4,110404,0.00988262
D300.5,752400,9.28703e-05
D300.6,415000,0.00145596
D300.7,720099,0.00137419
D300.82,510600,0.000164572
D300.9,341499,0.00560205
D301.11,516000,7.56818e-05
D301.13,240603,0.00158884
D301.2,910600,3.05209e-05
D301.20,854000,4.6234e-05
D301.22,161004,1.60073e-05
D301.3,410099,0.000695809
D301.51,510600,0.000164522
D301.6,320604,0.00183934
D301.7,878099,0.0217627
D301.81,310604,0.000415108
D301.83,241602,0.0106124
D301.89,821204,0.00348747
D301.9,650603,0.00333292
D302.2,316002,0.000167725
D302.3,210602,7.87378e-06
D302.50,521602,0.000712184
D303.0,753200,0.000127468
D303.00,650610,0.00684
D303.01,131899,0.00890844
D303.02,220200,0.00229395
D303.03,150404,8.24433e-05
D303.9,730699,0.00104928
D303.90,132299,0.0316273
D303.91,540410,0.00955297
D303.92,12002,0.00233192
D303.93,752401,0.0022717
D304.00,240599,0.0104748
D304.01,640610,0.00631459
D304.02,150202,6.67412e-05
D304.03,422002,0.00518973
D304.1,856161,5.38841e-05
D304.10,640646,0.00362272
D304.11,320604,0.00183932
D304.12,150202,6.67014e-05
D304.20,230299,0.00337981
D304.21,121099,0.00255858
D304.22,854111,7.84912e-05
D304.23,521202,0.00127847
D304.30,640260,0.0117347
D304.31,320213,0.00773252
D304.32,753200,0.00012748
D304.33,650222,5.89793e-05
D304.40,410800,0.00632923
D304.41,320220,0.00384391
D304.53,650222,5.84802e-05
D304.60,321008,0.00310785
D304.61,321099,0.00126006
D304.63,854221,7.54478e-05
D304.70,120404,0.0085274
D304.71,416006,0.000391758
D304.8,910400,3.42539e-05
D304.80,421406,0.00579435
D304.82,110600,1.37156e-05
D304.83,854221,7.43025e-05
D304.9,752400,9.28718e-05
D304.90,521002,0.00275793
D304.91,750732,0.00336476
D304.93,772010,0.00104157
D305.0,442608,0.00414859
D305.00,630204,0.0261296
D305.01,716028,0.00940816
D305.02,122004,0.037725
D305.03,816006,0.00246621
D305.1,640616,0.0247631
D305.2,820299,0.000487304
D305.20,878099,0.0217428
D305.21,122004,0.037726
D305.22,914000,0.00191621
D305.23,140474,0.00405327
D305.30,751800,0.000709156
D305.31,816010,0.000499456
D305.33,442206,0.000253724
D305.40,241602,0.0106124
D305.41,200099,0.000774603
D305.50,420204,0.00591404
D305.51,350200,0.00109042
D305.52,210804,0.000654129
D305.53,710099,0.00139328
D305.6,854222,5.29187e-05
D305.60,878099,0.0217444
D305.61,630214,0.00914644
D305.62,545024,0.00258058
D305.63,131299,0.00538062
D305.70,640260,0.0117327
D305.71,878163,0.00672993
D305.72,416006,0.000392052
D305.73,542210,0.00137488
D305.80,140440,0.000344183
D305.81,110202,5.78274e-05
D305.9,320806,0.00129227
D305.90,330299,0.0112269
D305.91,541222,0.00203772
D305.92,640478,0.00012328
D305.93,251099,0.00079207
D306.1,400099,0.00157891
D306.7,650228,4.18939e-05
D306.8,541828,0.000239704
D307.1,140426,0.00186954
D307.22,912030,0.000100118
D307.23,541222,0.00203951
D307.42,131699,0.00171513
D307.46,730499,0.000664519
D307.47,415000,0.0014559
D307.50,140204,0.000676077
D307.52,340102,0.00522227
D307.59,853171,4.70136e-05
D307.81,858274,0.00499711
D307.89,730699,0.00105448
D307.9,420404,0.00869754
D308.0,830099,0.00288459
D308.2,320208,0.00251787
